category,percentage,sna,cumulative_percentage
parking,4.192685102586976,臺大社科院西側,54.23728813559322
drinking_water,3.9250669045495097,臺大社科院西側,58.162355040142735
restaurant,37.76944704779756,捷運東門站(5號出口),37.76944704779755
cafe,9.559512652296158,捷運東門站(5號出口),47.328959700093705
bank,5.716963448922212,捷運東門站(5號出口),53.04592314901592
drinking_water,4.873477038425492,捷運東門站(5號出口),57.919400187441404
bicycle_rental,3.748828491096532,捷運東門站(5號出口),61.66822867853794
restaurant,29.765013054830288,捷運公館站(1號出口),29.765013054830288
cafe,8.703220191470844,捷運公館站(1號出口),38.46823324630113
bicycle_rental,8.006962576153178,捷運公館站(1號出口),46.47519582245431
bench,6.70147954743255,捷運公館站(1號出口),53.17667536988686
parking,5.657093124456049,捷運公館站(1號出口),58.833768494342905
restaurant,30.910609857978276,臺大大一女舍北側,30.910609857978276
cafe,9.523809523809524,臺大大一女舍北側,40.4344193817878
bicycle_rental,7.936507936507936,臺大大一女舍北側,48.370927318295735
bench,5.764411027568922,臺大大一女舍北側,54.13533834586466
parking,5.597326649958228,臺大大一女舍北側,59.73266499582288
restaurant,42.76629570747218,捷運圓山站(1號出口),42.766295707472196
place_of_worship,7.154213036565977,捷運圓山站(1號出口),49.92050874403817
bicycle_rental,6.200317965023848,捷運圓山站(1號出口),56.12082670906202
cafe,5.88235294117647,捷運圓山站(1號出口),62.00317965023849
bank,4.610492845786964,捷運圓山站(1號出口),66.61367249602547
restaurant,36.016260162601625,臺大第一活動中心西南側,36.016260162601625
cafe,9.512195121951219,臺大第一活動中心西南側,45.52845528455285
bicycle_rental,8.780487804878048,臺大第一活動中心西南側,54.3089430894309
drinking_water,4.227642276422764,臺大第一活動中心西南側,58.53658536585367
parking,4.146341463414634,臺大第一活動中心西南側,62.68292682926829
restaurant,46.5818759936407,捷運信義安和站(4號出口),46.58187599364071
bank,9.618441971383147,捷運信義安和站(4號出口),56.200317965023864
cafe,7.631160572337042,捷運信義安和站(4號出口),63.83147853736091
bicycle_rental,4.92845786963434,捷運信義安和站(4號出口),68.75993640699525
parking,3.338632750397456,捷運信義安和站(4號出口),72.0985691573927
restaurant,37.878787878787875,捷運古亭站(6號出口),37.878787878787875
cafe,10.606060606060606,捷運古亭站(6號出口),48.484848484848484
bank,5.05050505050505,捷運古亭站(6號出口),53.535353535353536
drinking_water,4.797979797979798,捷運古亭站(6號出口),58.333333333333336
parking,3.9562289562289563,捷運古亭站(6號出口),62.2895622895623
restaurant,39.053254437869825,興雅松仁路口,39.05325443786983
drinking_water,7.297830374753452,興雅松仁路口,46.35108481262329
bank,6.41025641025641,興雅松仁路口,52.7613412228797
cafe,5.522682445759369,興雅松仁路口,58.284023668639065
bicycle_rental,4.536489151873767,興雅松仁路口,62.82051282051283
restaurant,34.47412353923205,臺大共同教室東南側,34.47412353923205
cafe,9.015025041736227,臺大共同教室東南側,43.489148580968276
bicycle_rental,8.931552587646078,臺大共同教室東南側,52.42070116861436
parking,4.841402337228715,臺大共同教室東南側,57.26210350584308
drinking_water,4.841402337228715,臺大共同教室東南側,62.10350584307178
restaurant,35.11705685618729,捷運松山站(4號出口),35.11705685618728
bicycle_rental,8.193979933110368,捷運松山站(4號出口),43.31103678929765
place_of_worship,7.023411371237458,捷運松山站(4號出口),50.3344481605351
bank,5.518394648829431,捷運松山站(4號出口),55.85284280936453
parking,5.016722408026756,捷運松山站(4號出口),60.8695652173913
restaurant,38.095238095238095,南港車站(市民大道),38.095238095238095
cafe,7.518796992481203,南港車站(市民大道),45.6140350877193
parking,7.268170426065162,南港車站(市民大道),52.88220551378446
bicycle_rental,6.015037593984962,南港車站(市民大道),58.89724310776943
bank,5.764411027568922,南港車站(市民大道),64.66165413533835
restaurant,35.36804308797127,捷運東門站(3號出口),35.368043087971266
cafe,9.245960502692999,捷運東門站(3號出口),44.61400359066426
drinking_water,6.642728904847396,捷運東門站(3號出口),51.256732495511656
bank,5.475763016157989,捷運東門站(3號出口),56.73249551166965
bicycle_rental,4.129263913824058,捷運東門站(3號出口),60.86175942549371
restaurant,35.04983388704319,捷運松山站(3號出口),35.049833887043185
bicycle_rental,7.807308970099667,捷運松山站(3號出口),42.857142857142854
place_of_worship,6.976744186046512,捷運松山站(3號出口),49.833887043189364
