"times","stop_id1","longitude1（經度）","latitude1（緯度）","stop_id2","longitude2","latitude2"
113,"U101005",121.54299,25.02153,"U119071",121.53992,25.0203600025
8,"U101005",121.54299,25.02153,"U119072",121.53868,25.0188100025
1,"U101005",121.54299,25.02153,"U119074",121.53825,25.0154800025
62,"U101005",121.54299,25.02153,"U119075",121.53995,25.0176100025
82,"U101005",121.54299,25.02153,"U119076",121.54195,25.0192200025
18,"U101005",121.54299,25.02153,"U119077",121.536,25.0189000025
4,"U101005",121.54299,25.02153,"U119078",121.53888,25.0170400025
4,"U101005",121.54299,25.02153,"U119079",121.53455,25.0169800025
1,"U101005",121.54299,25.02153,"U119082",121.53781,25.0170300025
44,"U101005",121.54299,25.02153,"U119083",121.53846,25.0196000025
75,"U101005",121.54299,25.02153,"U119084",121.54305,25.0190000025
59,"U101005",121.54299,25.02153,"U119085",121.54247,25.0185700025
17,"U101005",121.54299,25.02153,"U119086",121.53928,25.0180400025
24,"U101005",121.54299,25.02153,"U119087",121.54031,25.0169000025
398,"U101005",121.54299,25.02153,"U119088",121.54347,25.0199500025
24,"U101005",121.54299,25.02153,"U119089",121.54242,25.0179100025
9,"U101005",121.54299,25.02153,"U119090",121.53591,25.0211200025
5,"U101005",121.54299,25.02153,"U119091",121.54469,25.0181600025
235,"U101006",121.54328,25.02429,"U101007",121.54326,25.0225300025
1,"U101006",121.54328,25.02429,"U101010",121.53361,25.0189400025
327,"U101006",121.54328,25.02429,"U101013",121.54332,25.0254300025
1,"U101006",121.54328,25.02429,"U101036",121.54497,25.0203200025
5,"U101006",121.54328,25.02429,"U101037",121.54432,25.0207600025
39,"U101006",121.54328,25.02429,"U101038",121.54284,25.0210100025
5,"U101006",121.54328,25.02429,"U101039",121.54081,25.0210400025
1,"U101006",121.54328,25.02429,"U101042",121.54471,25.0172700025
8,"U101006",121.54328,25.02429,"U101093",121.544069,25.0214690025
363,"U101006",121.54328,25.02429,"U101166",121.54459,25.0246900025
61,"U101006",121.54328,25.02429,"U101190",121.54108,25.0234700025
1,"U101006",121.54328,25.02429,"U101191",121.54561,25.0205400025
15,"U101006",121.54328,25.02429,"U101209",121.54153,25.0210100025
1,"U101006",121.54328,25.02429,"U119045",121.53404,25.0183900025
5,"U101006",121.54328,25.02429,"U119049",121.53902,25.0193700025
3,"U101006",121.54328,25.02429,"U119050",121.5376,25.0184600025
7,"U101006",121.54328,25.02429,"U119052",121.54059,25.0185700025
2,"U101006",121.54328,25.02429,"U119054",121.5404,25.0194100025
1,"U101006",121.54328,25.02429,"U119055",121.53585,25.0179300025
1,"U101006",121.54328,25.02429,"U119064",121.54398,25.0175400025
29,"U101006",121.54328,25.02429,"U119067",121.54145,25.0205300025
12,"U101006",121.54328,25.02429,"U119068",121.54175,25.0198700025
7,"U101006",121.54328,25.02429,"U119071",121.53992,25.0203600025
1,"U101006",121.54328,25.02429,"U119072",121.53868,25.0188100025
4,"U101006",121.54328,25.02429,"U119075",121.53995,25.0176100025
4,"U101006",121.54328,25.02429,"U119076",121.54195,25.0192200025
1,"U101006",121.54328,25.02429,"U119083",121.53846,25.0196000025
4,"U101006",121.54328,25.02429,"U119084",121.54305,25.0190000025
